Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,labels
389,113095465,48,24,9668,10012,403,0,201.4166667,203.5482935,923,316,417.1666667,231.0809507,174.0122825,0.636630302,1592893.873,4597264.595,16500000,3,113000000,2406286.489,5491986.114,16500000,3,113000000,4917177.522,7084368.263,16500000,3,1,0,0,0,1536,768,0.424420201,0.212210101,0,923,275.109589,233.8332479,54677.98782,0,1,0,0,1,0,0,0,0,278.9305556,201.4166667,417.1666667,1536,0,0,0,0,0,0,48,9668,24,10012,571,2079,23,32,203985.5,575837.2562,1629110,379,13800000,4277541.062,16500000,6737603,BENIGN
389,113473706,68,40,11364,12718,403,0,167.1176471,171.9194127,1139,126,317.95,208.2612942,212.2253767,0.95176234,1060501.925,3813685.451,16500000,2,113000000,1693637.403,4719143.265,16500000,2,113000000,2908399.744,5922355.273,16500000,3,1,0,0,0,2176,1280,0.59925777,0.352504571,0,1139,224.6330275,198.999612,39600.84557,0,1,0,0,1,0,0,0,0,226.712963,167.1176471,317.95,2176,0,0,0,0,0,0,68,11364,40,12718,390,2081,39,32,178326.875,503426.946,1424245,325,13800000,4229413.12,16500000,6945512,BENIGN
0,119945515,150,0,0,0,0,0,0,0,0,0,0,0,0,1.25056781,805003.4564,5277836.772,60100000,0,120000000,805003.4564,5277836.772,60100000,0,0,0,0,0,0,0,0,0,0,0,0,1.25056781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,-1,-1,0,0,6909777.333,11700000,20400000,6,24400000,24300000,60100000,5702188,BENIGN
443,60261928,9,7,2330,4221,1093,0,258.8888889,409.7021615,1460,0,603,653.5941656,108.7087688,0.265507602,4017461.867,15500000,60000000,1,60300000,7532741,21200000,60000000,311,211947,35324.5,27504.33405,57109,48,0,0,0,0,192,152,0.149348026,0.116159576,0,1460,385.3529412,532.0940872,283124.1176,0,0,0,1,0,0,0,0,0,409.4375,258.8888889,603,192,0,0,0,0,0,0,9,2330,7,4221,8192,513,8,20,0,0,0,0,0,0,0,0,BENIGN
53,269,2,2,102,322,51,51,51,0,161,161,161,0,1576208.178,14869.88848,89.66666667,148.3790192,261,4,4,4,0,4,4,4,4,0,4,4,0,0,0,0,64,64,7434.944238,7434.944238,51,161,95,60.24948133,3630,0,0,0,0,0,0,0,0,1,118.75,51,161,64,0,0,0,0,0,0,2,102,2,322,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
123,30352,1,1,48,48,48,48,48,0,48,48,48,0,3162.888772,65.89351608,30352,0,30352,30352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,32.94675804,32.94675804,48,48,48,0,0,0,0,0,0,0,0,0,0,1,72,48,48,32,0,0,0,0,0,0,1,48,1,48,-1,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
59135,48,1,1,6,6,6,6,6,0,6,6,6,0,250000,41666.66667,48,0,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20833.33333,20833.33333,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,513,253,0,20,0,0,0,0,0,0,0,0,BENIGN
5353,89501767,223,0,26257,0,219,45,117.7443946,63.99100551,0,0,0,0,293.3685097,2.491570921,403161.1126,2843991.635,32000000,1,89500000,403161.1126,2843991.635,32000000,1,0,0,0,0,0,0,0,0,0,5762,0,2.491570921,0,45,219,118.1517857,64.1378434,4113.662956,0,0,0,0,0,0,0,0,0,118.6816143,117.7443946,0,5762,0,0,0,0,0,0,223,26257,0,0,-1,-1,222,14,3044839.75,3594216.933,7003810,13,19300000,10100000,32000000,8008170,BENIGN
53,23527,1,1,34,109,34,34,34,0,109,109,109,0,6078.123008,85.00871339,23527,0,23527,23527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,42.5043567,42.5043567,34,109,59,43.30127019,1875,0,0,0,0,0,0,0,0,1,88.5,34,109,32,0,0,0,0,0,0,1,34,1,109,-1,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
53,23978,2,2,46,196,23,23,23,0,98,98,98,0,10092.58487,166.8195846,7992.666667,13836.77655,23970,4,4,4,0,4,4,4,4,0,4,4,0,0,0,0,64,64,83.40979231,83.40979231,23,98,53,41.07919181,1687.5,0,0,0,0,0,0,0,0,1,66.25,23,98,64,0,0,0,0,0,0,2,46,2,196,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
123,107015212,14,14,672,672,48,48,48,0,48,48,48,0,12.55896218,0.261645045,3963526.37,14300000,69000000,0,107000000,8231931.077,20100000,69000000,3,107000000,8231934.615,20100000,69000000,0,0,0,0,0,304,304,0.130822523,0.130822523,48,48,48,0,0,0,0,0,0,0,0,0,0,1,49.71428571,48,48,304,0,0,0,0,0,0,14,672,14,672,-1,-1,13,14,3507671.5,4960455.186,7015243,100,50000000,26900000,69000000,31000000,BENIGN
138,75288199,21,0,4935,0,235,235,235,0,0,0,0,0,65.54812129,0.278928176,3764409.95,16800000,75300000,1,75300000,3764409.95,16800000,75300000,1,0,0,0,0,0,0,0,0,0,420,0,0.278928176,0,235,235,235,0,0,0,0,0,0,0,0,0,0,0,246.1904762,235,0,420,0,0,0,0,0,0,21,4935,0,0,-1,-1,20,20,20,0,20,20,75300000,0,75300000,75300000,BENIGN
137,3378994,205,0,13760,0,68,50,67.12195122,3.886850141,0,0,0,0,4072.217944,60.66894466,16563.69608,166333.5221,1780399,1,3378994,16563.69608,166333.5221,1780399,1,0,0,0,0,0,0,0,0,0,3572,0,60.66894466,0,50,68,67.12621359,3.877841018,15.03765096,0,0,0,0,0,0,0,0,0,67.45365854,67.12195122,0,3572,0,0,0,0,0,0,205,13760,0,0,-1,-1,204,14,0,0,0,0,0,0,0,0,BENIGN
137,3,2,0,124,0,62,62,62,0,0,0,0,0,41300000,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,40,0,666666.6667,0,62,62,62,0,0,0,0,0,0,0,0,0,0,0,93,62,0,40,0,0,0,0,0,0,2,124,0,0,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
138,76354195,42,0,9471,0,237,214,225.5,11.63939903,0,0,0,0,124.040336,0.550068009,1862297.439,11900000,76400000,1,76400000,1862297.439,11900000,76400000,1,0,0,0,0,0,0,0,0,0,840,0,0.550068009,0,214,237,225.7674419,11.63295239,135.3255814,0,0,0,0,0,0,0,0,0,231.1428571,225.5,0,840,0,0,0,0,0,0,42,9471,0,0,-1,-1,41,20,35,0,35,35,76400000,0,76400000,76400000,BENIGN
53,25117,1,1,45,77,45,45,45,0,77,77,77,0,4857.267986,79.62734403,25117,0,25117,25117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,39.81367201,39.81367201,45,77,55.66666667,18.47520861,341.3333333,0,0,0,0,0,0,0,0,1,83.5,45,77,32,0,0,0,0,0,0,1,45,1,77,-1,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
53,25926,1,1,45,106,45,45,45,0,106,106,106,0,5824.269074,77.14263674,25926,0,25926,25926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,38.57131837,38.57131837,45,106,65.33333333,35.21836642,1240.333333,0,0,0,0,0,0,0,0,1,98,45,106,32,0,0,0,0,0,0,1,45,1,106,-1,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
53,25525,2,2,68,132,34,34,34,0,66,66,66,0,7835.455436,156.7091087,8508.333333,14730.80345,25518,3,4,4,0,4,4,3,3,0,3,3,0,0,0,0,64,64,78.35455436,78.35455436,34,66,46.8,17.52712184,307.2,0,0,0,0,0,0,0,0,1,58.5,34,66,64,0,0,0,0,0,0,2,68,2,132,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
53,171,2,2,46,196,23,23,23,0,98,98,98,0,1415204.678,23391.81287,57,57.41950888,118,4,4,4,0,4,4,49,49,0,49,49,0,0,0,0,64,64,11695.90643,11695.90643,23,98,53,41.07919181,1687.5,0,0,0,0,0,0,0,0,1,66.25,23,98,64,0,0,0,0,0,0,2,46,2,196,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
53,26386,2,2,68,190,34,34,34,0,95,95,95,0,9777.912529,151.5955431,8795.333333,15229.63415,26381,1,1,1,0,1,1,4,4,0,4,4,0,0,0,0,64,64,75.79777155,75.79777155,34,95,58.4,33.41107601,1116.3,0,0,0,0,0,0,0,0,1,73,34,95,64,0,0,0,0,0,0,2,68,2,190,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
137,1582026,28,0,1400,0,50,50,50,0,0,0,0,0,884.9412083,17.69882417,58593.55556,211129.0298,803863,1,1582026,58593.55556,211129.0298,803863,1,0,0,0,0,0,0,0,0,0,452,0,17.69882417,0,50,50,50,0,0,0,0,0,0,0,0,0,0,0,51.78571429,50,0,452,0,0,0,0,0,0,28,1400,0,0,-1,-1,27,14,0,0,0,0,0,0,0,0,BENIGN
53,302,2,2,68,190,34,34,34,0,95,95,95,0,854304.6358,13245.03311,100.6666667,134.7677014,254,1,1,1,0,1,1,47,47,0,47,47,0,0,0,0,40,40,6622.516556,6622.516556,34,95,58.4,33.41107601,1116.3,0,0,0,0,0,0,0,0,1,73,34,95,40,0,0,0,0,0,0,2,68,2,190,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
53,257,2,2,68,132,34,34,34,0,66,66,66,0,778210.1167,15564.20233,85.66666667,106.6130073,206,3,3,3,0,3,3,48,48,0,48,48,0,0,0,0,40,40,7782.101167,7782.101167,34,66,46.8,17.52712184,307.2,0,0,0,0,0,0,0,0,1,58.5,34,66,40,0,0,0,0,0,0,2,68,2,132,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
389,487,11,4,172,326,79,0,15.63636364,31.4492376,163,0,81.5,94.10809388,1022587.269,30800.82136,34.78571429,26.81038424,76,1,487,48.7,39.20615031,115,1,268,89.33333333,151.2690759,264,1,0,0,0,0,368,144,22587.26899,8213.552361,0,163,31.125,57.86060836,3347.85,0,0,0,1,0,0,0,0,0,33.2,15.63636364,81.5,368,0,0,0,0,0,0,11,172,4,326,29200,2081,4,32,0,0,0,0,0,0,0,0,BENIGN
88,1206,10,7,3150,3152,1575,0,315,632.5616351,1576,0,450.2857143,769.0092575,5225538.972,14096.18574,75.375,212.3562651,868,2,1206,134,296.3258342,921,2,1113,185.5,337.423621,868,3,0,0,0,0,336,240,8291.873964,5804.311774,0,1576,350.1111111,657.7416701,432624.1046,0,0,0,1,0,0,0,0,0,370.7058824,315,450.2857143,336,0,0,0,0,0,0,10,3150,7,3152,29200,2081,3,32,0,0,0,0,0,0,0,0,BENIGN
389,27779,17,11,3450,6654,1312,0,202.9411765,425.4526223,3069,0,604.9090909,1009.026507,363727.996,1007.95565,1028.851852,4994.799986,26015,0,27779,1736.1875,6477.319829,26015,1,27614,2761.4,8367.297827,26571,3,0,0,0,0,560,368,611.9730732,395.9825768,0,3069,348.4137931,714.201428,510083.6798,0,0,0,1,0,0,0,0,0,360.8571429,202.9411765,604.9090909,560,0,0,0,0,0,0,17,3450,11,6654,29200,2076,10,32,0,0,0,0,0,0,0,0,BENIGN
88,1133,9,6,3150,3152,1575,0,350,694.5097192,1576,0,525.3333333,813.8429005,5562224.184,13239.188,80.92857143,204.1750622,787,2,1133,141.625,294.4199806,868,2,1032,206.4,325.5046851,787,45,0,0,0,0,304,208,7943.512798,5295.675199,0,1576,393.875,704.585067,496440.1167,0,0,0,1,0,0,0,0,0,420.1333333,350,525.3333333,304,0,0,0,0,0,0,9,3150,6,3152,29200,2081,2,32,0,0,0,0,0,0,0,0,BENIGN
389,118034439,106,61,17896,27110,1313,0,168.8301887,225.3205747,3069,0,444.4262295,470.0420357,381.2954963,1.414841307,711050.8373,4579006.975,49000000,0,118000000,1124137.514,5726832.073,49000000,1,118000000,1966591.283,7492250.658,49000000,2,0,0,0,0,3408,1968,0.898042986,0.516798322,0,3069,267.8928571,359.6417718,129342.204,0,0,0,1,0,0,0,0,0,269.497006,168.8301887,444.4262295,3408,0,0,0,0,0,0,106,17896,61,27110,29200,2078,58,32,1675639.6,1059676.363,3343206,636188,21900000,16800000,49000000,6604342,BENIGN
53,214,2,2,64,96,32,32,32,0,48,48,48,0,747663.5514,18691.58879,71.33333333,39.55165399,117,48,49,49,0,49,49,48,48,0,48,48,0,0,0,0,64,64,9345.794393,9345.794393,32,48,38.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,48,32,48,64,0,0,0,0,0,0,2,64,2,96,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
53,190,2,2,102,224,51,51,51,0,112,112,112,0,1715789.474,21052.63158,63.33333333,107.0996421,187,1,187,187,0,187,187,1,1,0,1,1,0,0,0,0,64,64,10526.31579,10526.31579,51,112,75.4,33.41107601,1116.3,0,0,0,0,0,0,0,0,1,94.25,51,112,64,0,0,0,0,0,0,2,102,2,224,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
